链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
米斯线	L60.800x025	{"dummy_term": ["米斯", "线"]}
支气管软化	J98.000x009	{"1_region_term": ["支气管"], "dummy_term": ["软化"]}
细小病毒B19感染	B34.300x002	{"dummy_term": ["细小", "病毒", "B19", "感染"]}
睾丸功能障碍	E29.900	{"1_region_term": ["睾丸"], "dummy_term": ["功能障碍"]}
先天性瞳孔闭锁	Q13.201	{"1_region_term": ["瞳孔"], "dummy_term": ["先天性"], "3_disease_term": ["闭锁"]}
翼腭窝周围神经和自主神经恶性肿瘤	C47.000x006	{"1_region_term": ["腭", "周围神经"], "dummy_term": ["翼", "窝", "和", "自主神经", "恶性肿瘤"]}
前庭蜗神经恶性肿瘤	C72.506	{"1_region_term": ["前庭", "神经"], "dummy_term": ["蜗", "恶性肿瘤"]}
髋部冻伤伴组织坏死	T34.600x002	{"dummy_term": ["髋部", "冻伤", "伴", "坏死"], "5_others_term": ["组织"]}
青春期疾患	E30.900	{"dummy_term": ["青春期", "疾患"]}
角膜沉着物	H18.001	{"1_region_term": ["角膜"], "dummy_term": ["沉着", "物"]}
脓疱性皮疹	L08.002	{"dummy_term": ["脓疱", "性", "皮疹"]}
职业性暴露于其他工业毒物	Z57.500	{"dummy_term": ["暴露", "于", "其他", "工业", "毒物"], "5_others_term": ["职业性"]}
鼓膜萎缩	H73.804	{"1_region_term": ["鼓膜"], "3_disease_term": ["萎缩"]}
妊娠合并肝囊肿	O26.609	{"1_region_term": ["肝"], "dummy_term": ["妊娠", "合", "并"], "3_disease_term": ["囊肿"]}
疱疹性口炎病毒病	A93.801	{"dummy_term": ["疱疹", "性", "口炎", "病毒", "病"]}
空洞型肺结核病理阴性	A16.027	{"dummy_term": ["空洞", "型", "肺结核", "病理", "阴性"]}
骶前良性肿瘤	D36.700x024	{"1_region_term": ["骶前"], "dummy_term": ["良性肿瘤"]}
辛丁拉森软骨病	M92.402	{"dummy_term": ["辛", "丁", "拉", "森", "软骨病"]}
臀部瘢痕	L90.500x043	{"dummy_term": ["臀部"], "3_disease_term": ["瘢痕"]}
颈部脊髓功能损伤C1	S14.100x711	{"1_region_term": ["颈部", "脊髓"], "dummy_term": ["功能", "C1"], "3_disease_term": ["损伤"]}
面部软组织挫伤	S00.801	{"1_region_term": ["面部", "软组织"], "dummy_term": ["挫伤"]}
丛状纤维组织细胞性瘤	M88350/1	{"dummy_term": ["丛状", "纤维组织", "细胞", "性"], "3_disease_term": ["瘤"]}
阴道网片侵蚀	T83.802	{"1_region_term": ["阴道"], "dummy_term": ["网片", "侵蚀"]}
后天性足变形	M21.600x071	{"1_region_term": ["足"], "dummy_term": ["后天性", "变形"]}
庆大霉素中毒	T36.502	{"dummy_term": ["庆大霉素", "中毒"]}
遗传性掌跖角化症	Q82.806	{"1_region_term": ["掌", "跖"], "dummy_term": ["遗传性", "角化", "症"]}
起源于围生期的间质肺气肿	P25.000	{"dummy_term": ["起源于", "围", "生", "期", "的", "间质", "肺气肿"]}
与儿童据说身体被虐待有关具有潜在健康问题	Z61.600	{"dummy_term": ["与", "据说", "被", "虐待", "有关", "具有", "潜在", "健康", "问题"], "5_others_term": ["儿童", "身体"]}
颅内多发动脉瘤	I67.100x010	{"1_region_term": ["颅内"], "dummy_term": ["多发"], "3_disease_term": ["动脉瘤"]}
四肢动脉血栓形成	I74.402	{"dummy_term": ["四肢", "动脉血", "栓", "形成"]}
分离性骨软骨炎剥脱性骨软骨炎	M93.200x003	{"1_region_term": ["骨", "骨"], "dummy_term": ["软", "骨炎", "性", "软", "骨炎"], "2_operation_term": ["剥脱"], "3_disease_term": ["分离性"]}
二乙麦角酰胺LSD中毒	T40.800	{"dummy_term": ["二", "乙", "麦角", "酰胺", "LSD", "中毒"]}
巨大裂孔性视网膜脱离	H33.000x005	{"1_region_term": ["视网膜"], "dummy_term": ["巨大", "性"], "3_disease_term": ["裂孔", "脱离"]}
胰腺癌伴出血	K92.800x012	{"dummy_term": ["胰腺癌", "伴", "出", "血"]}
外因性窒息	T71.x00	{"dummy_term": ["外因", "性", "窒息"]}
跖神经损害	G57.600	{"1_region_term": ["跖", "神经"], "dummy_term": ["损害"]}
暴露于烟火和火焰下意图不确定的	Y26.x00	{"dummy_term": ["暴露", "于", "烟火", "和", "火焰", "下", "意图", "不", "确定", "的"]}
中枢性协调障碍	R27.800x002	{"dummy_term": ["中枢性", "协调", "障碍"]}
呼吸系统疾病并发于妊娠分娩和产褥期	O99.500	{"dummy_term": ["呼吸系统", "疾病", "并发", "于", "妊娠", "分娩", "和", "产褥期"]}
大肠杆菌性先天性肺炎	P23.400	{"dummy_term": ["大肠杆菌", "性", "先天性", "肺炎"]}
麻疹并发心肌炎	B05.803	{"dummy_term": ["麻疹", "并发", "心肌炎"]}
锥体束变性	G12.202	{"dummy_term": ["锥体束", "变性"]}
颈椎半脱位C2C3	S13.100x021	{"1_region_term": ["颈椎"], "dummy_term": ["C2C3"], "3_disease_term": ["半脱位"]}
视神经盘的其他疾患	H47.300	{"1_region_term": ["视神经"], "dummy_term": ["盘", "的", "其他", "疾患"]}
在前臂水平的其他屈肌和肌腱损伤	S56.200	{"1_region_term": ["前臂", "肌", "肌腱"], "dummy_term": ["在", "水平", "的", "其他", "屈", "和"], "3_disease_term": ["损伤"]}
痛性痉挛和痉挛	R25.200	{"dummy_term": ["痛", "性", "痉挛", "和", "痉挛"]}
姑息性医疗	Z51.500	{"dummy_term": ["医疗"], "3_disease_term": ["姑息性"]}
臀部皮肤继发恶性肿瘤	C79.200x005	{"1_region_term": ["皮肤"], "dummy_term": ["臀部", "继发", "恶性肿瘤"]}
眼眶萎缩	H05.301	{"1_region_term": ["眼眶"], "3_disease_term": ["萎缩"]}
开放性腹部异物	S31.802	{"1_region_term": ["腹部"], "5_others_term": ["异物"], "3_disease_term": ["开放性"]}
暴露于噪声具有潜在健康问题	Z58.000	{"dummy_term": ["暴露", "于", "噪声", "具有", "潜在", "健康", "问题"]}
糖耐量受损伴胰岛素抵抗	E16.800x104	{"dummy_term": ["糖耐量", "受损", "伴", "抵抗"], "5_others_term": ["胰岛素"]}
腭部皮脂腺囊肿	K09.102	{"1_region_term": ["腭"], "dummy_term": ["部", "皮脂腺"], "3_disease_term": ["囊肿"]}
指屈肌腱粘连后遗症	T92.500x015	{"1_region_term": ["指", "肌腱"], "dummy_term": ["屈", "后遗症"], "3_disease_term": ["粘连"]}
腹膜后腔恶性肿瘤	C48.000	{"1_region_term": ["腹膜后"], "dummy_term": ["腔", "恶性肿瘤"]}
Rh血型不合	O36.001	{"dummy_term": ["Rh", "血型", "不合"]}
膀胱造瘘管阻塞	T83.003	{"1_region_term": ["膀胱"], "dummy_term": ["阻塞"], "4_implant_term": ["造瘘管"]}
完全性前置胎盘伴出血	O44.103	{"1_region_term": ["胎盘"], "dummy_term": ["前置", "伴", "出", "血"], "5_others_term": ["完全性"]}
医疗性流产失败并发代谢紊乱	O07.300x001	{"dummy_term": ["医疗", "性", "流产", "失败", "并发", "代谢", "紊乱"]}
鼻咽上壁恶性肿瘤	C11.000	{"1_region_term": ["鼻咽"], "dummy_term": ["上", "壁", "恶性肿瘤"]}
髋良性肿瘤	D36.713	{"1_region_term": ["髋"], "dummy_term": ["良性肿瘤"]}
肠系膜炎	K65.800x001	{"dummy_term": ["肠系膜炎"]}
腕和手的浅表损伤	S60.900	{"1_region_term": ["腕", "手"], "dummy_term": ["和", "的", "浅表"], "3_disease_term": ["损伤"]}
急性化脓性肝胆管炎	K83.016	{"1_region_term": ["肝胆管"], "dummy_term": ["急性", "化脓性", "炎"]}
肝动脉瘤	I72.809	{"1_region_term": ["肝动脉"], "3_disease_term": ["瘤"]}
局部抗真菌抗感染和消炎药的有害效应不可归类在他处者	Y56.000	{"dummy_term": ["局部", "抗真菌", "抗感染", "和", "消炎药", "的", "有害", "效应", "不可", "归类", "在", "他", "处", "者"]}
胃结石	K31.808	{"1_region_term": ["胃"], "3_disease_term": ["结石"]}
外耳道皮肤恶性肿瘤	C44.201	{"1_region_term": ["外耳道", "皮肤"], "dummy_term": ["恶性肿瘤"]}
反转录病毒作为分类于其他章疾病的原因	B97.300	{"dummy_term": ["反", "转录", "病毒", "作为", "分类", "于", "其他", "章", "疾病", "的", "原因"]}
瘢痕感染	L08.803	{"dummy_term": ["感染"], "3_disease_term": ["瘢痕"]}
人感染H7N9禽流感	J09.x02	{"dummy_term": ["人", "感染", "H7N9", "禽流感"]}
癌病恐怖	F45.202	{"dummy_term": ["癌病", "恐怖"]}
臀部二度腐蚀伤	T21.600x041	{"dummy_term": ["臀部", "二度", "腐蚀", "伤"]}
三尖瓣关闭不全	I07.100	{"1_region_term": ["三尖瓣"], "dummy_term": ["关闭不全"]}
腕关节滑膜炎	M65.903	{"1_region_term": ["腕关节"], "dummy_term": ["滑膜炎"]}
老年人EBV阳性弥漫大B细胞淋巴瘤	C83.300x008	{"dummy_term": ["老年人", "EBV", "阳性", "弥漫", "B", "细胞", "淋巴瘤"], "5_others_term": ["大"]}
慢性髓单核细胞性白血病伴缓解	C92.100x014	{"dummy_term": ["慢性", "髓", "单核细胞", "性", "白血病", "伴", "缓解"]}
孕产妇产前筛查异常所见	O28.900	{"dummy_term": ["孕产妇", "筛查", "异常", "所", "见"], "5_others_term": ["产前"]}
取出神经系统治疗装置	Z46.200x001	{"dummy_term": ["取出", "装置"], "2_operation_term": ["治疗"], "5_others_term": ["神经系统"]}
肠粘连带伴有梗阻	K56.500	{"dummy_term": ["肠粘连", "带", "伴有"], "3_disease_term": ["梗阻"]}
腹壁软组织感染	L08.907	{"1_region_term": ["腹壁", "软组织"], "dummy_term": ["感染"]}
胃憩室	K31.400	{"1_region_term": ["胃"], "dummy_term": ["憩", "室"]}
颅咽管恶性肿瘤	C75.200	{"1_region_term": ["咽"], "dummy_term": ["颅", "管", "恶性肿瘤"]}
产褥期麻醉相关的心力衰竭	O89.100x002	{"dummy_term": ["产褥期", "麻醉", "相关", "的", "心力衰竭"]}
上肢动脉粥样硬化性坏疽	I70.202	{"1_region_term": ["上肢动脉"], "dummy_term": ["粥样", "硬化性", "坏疽"]}
感染性口角炎	K13.000x001	{"dummy_term": ["感染性", "口角炎"]}
先天性阴唇肥厚	Q52.700x003	{"1_region_term": ["阴唇"], "dummy_term": ["先天性", "肥厚"]}
肩和上肢一度烧伤除外腕和手	T22.100	{"1_region_term": ["肩", "上肢", "腕", "手"], "dummy_term": ["和", "一度", "烧伤", "除外", "和"]}
肺结核仅痰涂片证实	A15.000x002	{"dummy_term": ["肺结核", "仅", "痰", "涂片", "证实"]}
产褥期继发性会阴撕裂	O90.101	{"1_region_term": ["会阴"], "dummy_term": ["产褥期", "继发性"], "3_disease_term": ["撕裂"]}
纵隔淋巴结结核病理阳性	A15.407	{"1_region_term": ["纵隔淋巴结"], "dummy_term": ["结核病", "理", "阳性"]}
手骨间关节病	M19.904	{"dummy_term": ["手骨", "间", "关节病"]}
高密度脂蛋白缺乏	E78.600x006	{"dummy_term": ["高密度", "脂蛋白", "缺乏"]}
手骨间关节痛	M25.504	{"dummy_term": ["手骨", "间", "关节痛"]}
与家庭成员缺少有关的问题	Z63.300x001	{"dummy_term": ["与", "家庭成员", "缺少", "有关", "的", "问题"]}
鞘膜继发恶性肿瘤	C79.800x837	{"1_region_term": ["鞘膜"], "dummy_term": ["继发", "恶性肿瘤"]}
产伤致新生儿皮肤损伤	P15.804	{"1_region_term": ["皮肤"], "dummy_term": ["产", "伤", "致", "新生儿"], "3_disease_term": ["损伤"]}
精神医学鉴定	Z04.601	{"dummy_term": ["精神", "医学", "鉴定"]}
手术后瘢痕性尿道闭锁	N99.100x003	{"1_region_term": ["尿道"], "dummy_term": ["性"], "5_others_term": ["手术后"], "3_disease_term": ["瘢痕", "闭锁"]}
血栓性血小板减少性紫癜	M31.101	{"dummy_term": ["减少", "性", "紫癜"], "5_others_term": ["血小板"], "3_disease_term": ["血栓性"]}
海蓝组织细胞增生症	E75.200x010	{"dummy_term": ["海", "蓝", "组织细胞", "增生症"]}
先天性恶性疟	P37.300	{"dummy_term": ["先天性", "恶性疟"]}
肺炎球菌性脑膜炎	G00.100	{"dummy_term": ["肺炎球菌", "性", "脑膜炎"]}
鼻窦梅毒	A52.700x004+J99.8*	{"1_region_term": ["鼻窦"], "dummy_term": ["梅毒"]}
鼻泪管阻塞	H04.503	{"1_region_term": ["鼻泪管"], "dummy_term": ["阻塞"]}
大脑功能障碍	G93.804	{"1_region_term": ["大脑"], "dummy_term": ["功能障碍"]}
膜性白内障	H26.400x003	{"1_region_term": ["白内障"], "3_disease_term": ["膜性"]}
天花恢复期	Z54.800x007	{"dummy_term": ["天花", "恢复期"]}
急性坏死性视网膜炎	H35.809	{"dummy_term": ["急性", "坏死性", "视网膜炎"]}
手术后输尿管瘘	N28.822	{"1_region_term": ["输尿管"], "5_others_term": ["手术后"], "3_disease_term": ["瘘"]}
尺骨和桡骨下端均骨折	S52.600	{"1_region_term": ["尺骨", "桡骨下端"], "dummy_term": ["和", "均"], "3_disease_term": ["骨折"]}
角质层下小脓疱性皮炎	L13.100	{"dummy_term": ["角质层", "下", "脓疱", "性皮炎"], "5_others_term": ["小"]}
浆细胞性乳腺炎	N61.x06	{"dummy_term": ["浆细胞", "性", "乳腺炎"]}
躯干冻伤后遗症	T95.100x002	{"1_region_term": ["躯干"], "dummy_term": ["冻伤", "后遗症"]}
上呼吸道淀粉样变性	E85.400x005	{"dummy_term": ["上呼吸道", "淀粉样变", "性"]}
胆囊憩室	Q44.102	{"1_region_term": ["胆囊"], "dummy_term": ["憩", "室"]}
难治性血小板减少症	D46.700x003	{"dummy_term": ["难治性", "减少", "症"], "5_others_term": ["血小板"]}
肾输尿管恶性肿瘤	C68.801	{"1_region_term": ["肾", "输尿管"], "dummy_term": ["恶性肿瘤"]}
多处皮肤浅表青肿	T00.900x004	{"1_region_term": ["皮肤"], "dummy_term": ["多处", "浅表", "青肿"]}
踝和足浅表损伤	S90.900x001	{"1_region_term": ["踝", "足"], "dummy_term": ["和", "浅表"], "3_disease_term": ["损伤"]}
产褥期中局部麻醉的中毒反应	O89.300	{"dummy_term": ["产褥期", "中局", "部", "麻醉", "的", "中毒", "反应"]}
眼睑包括眦恶性黑色素瘤	C43.100	{"1_region_term": ["眼睑", "眦"], "dummy_term": ["包括", "恶性", "黑色素瘤"]}
椎骨良性肿瘤	D16.600x005	{"1_region_term": ["椎骨"], "dummy_term": ["良性肿瘤"]}
先天性鼻中隔穿孔	Q30.300	{"1_region_term": ["鼻中隔"], "dummy_term": ["先天性"], "3_disease_term": ["穿孔"]}
鹦鹉热	A70.x00x001	{"dummy_term": ["鹦鹉热"]}
开放性手多发损伤	S61.702	{"1_region_term": ["手"], "dummy_term": ["多发"], "3_disease_term": ["开放性", "损伤"]}
足肌痛	M79.109	{"1_region_term": ["足", "肌"], "dummy_term": ["痛"]}
指骨骨折不连接	M84.100x041	{"1_region_term": ["指骨"], "dummy_term": ["不", "连接"], "3_disease_term": ["骨折"]}
疟疾性肝炎	B54.x00x003+K77.0*	{"dummy_term": ["疟疾", "性肝炎"]}
成年型GM2神经节苷脂贮积症	E75.000x003	{"dummy_term": ["成年", "型", "GM2", "神经节", "苷", "脂", "贮积", "症"]}
背部皮肤恶性肿瘤	C44.504	{"1_region_term": ["背部", "皮肤"], "dummy_term": ["恶性肿瘤"]}
甲状旁腺肿瘤	D44.201	{"1_region_term": ["甲状旁腺"], "dummy_term": ["肿瘤"]}
手术后吸收不良性骨质疏松伴有病理性骨折	M80.300	{"dummy_term": ["吸收", "不", "良性", "骨质", "疏松", "伴有", "病理", "性骨折"], "5_others_term": ["手术后"]}
非那根中毒	T43.301	{"dummy_term": ["非", "那根", "中毒"]}
下颌恶性肿瘤	C03.100x002	{"1_region_term": ["下颌"], "dummy_term": ["恶性肿瘤"]}
涉及躯干其他部位整形手术的随诊医疗	Z42.200	{"1_region_term": ["躯干"], "dummy_term": ["涉及", "其他", "部位", "整形手术", "的", "随", "诊", "医疗"]}
与有害事件有关的放射学诊断和监测装置	Y78.000	{"dummy_term": ["与", "有害", "事件", "有关", "的", "放射学", "诊断", "和", "装置"], "2_operation_term": ["监测"]}
接触热的取暖器具散热器和管	X16.x00	{"dummy_term": ["接触", "热", "的", "取暖", "器具", "散热器", "和", "管"]}
视网膜缺损	H33.301	{"1_region_term": ["视网膜"], "3_disease_term": ["缺损"]}
肾结石伴有输尿管结石	N20.200	{"1_region_term": ["肾结石", "输尿管结石"], "dummy_term": ["伴有"]}
随诊检查其他情况化学治疗后的	Z09.200	{"dummy_term": ["随", "诊", "其他", "情况", "化学治疗", "后", "的"], "2_operation_term": ["检查"]}
肩胛带扭伤	S43.701	{"1_region_term": ["肩胛带"], "dummy_term": ["扭伤"]}
腹股沟皮肤恶性肿瘤	C44.509	{"1_region_term": ["腹股沟", "皮肤"], "dummy_term": ["恶性肿瘤"]}
取除输尿管支架	Z43.603	{"dummy_term": ["取", "除"], "4_implant_term": ["输尿管支架"]}
新生儿脑白质软化	P91.200	{"1_region_term": ["脑白质"], "dummy_term": ["新生儿", "软化"]}
呕吐	R11.x03	{"dummy_term": ["呕吐"]}
混合型横纹肌肉瘤	M89020/3	{"dummy_term": ["混合型", "横纹肌", "肉瘤"]}
危险因素相关性肺动脉高压	I27.200x009	{"1_region_term": ["肺动脉"], "dummy_term": ["危险", "因素", "相关性", "高压"]}
先天性内眦赘皮	Q10.303	{"1_region_term": ["内眦"], "dummy_term": ["先天性"], "3_disease_term": ["赘皮"]}
足舟骨骨折	S92.200x011	{"1_region_term": ["足", "舟骨"], "3_disease_term": ["骨折"]}
中跗关节脱位	S93.300x021	{"1_region_term": ["关节"], "dummy_term": ["跗"], "5_others_term": ["中"], "3_disease_term": ["脱位"]}
背痛	M54.900	{"dummy_term": ["背痛"]}
乳腺增生	N62.x00x004	{"1_region_term": ["乳腺"], "dummy_term": ["增生"]}
先天性弥漫性纤维性骨炎	Q78.100x001	{"dummy_term": ["先天性", "弥漫性", "纤维", "性", "骨炎"]}
免疫制剂中毒	T50.900x005	{"dummy_term": ["免疫", "制剂", "中毒"]}
鼻息肉	J33.900	{"dummy_term": ["鼻息肉"]}
胸腰椎间盘变性	M51.302	{"1_region_term": ["胸", "腰椎间盘"], "dummy_term": ["变性"]}
1型糖尿病性肥胖症性高血压	E10.700x023	{"dummy_term": ["1", "型", "糖尿病", "性", "肥胖症", "性", "高血压"]}
非阿片样镇痛药解热药和抗风湿药的故意自毒及暴露于该类药物	X60.x00	{"dummy_term": ["非", "阿片", "样", "镇痛药", "解热", "药", "和", "抗风湿", "药", "的", "故意", "自", "毒", "及", "暴露", "于", "该", "类药物"]}
阿米巴病	A06.900	{"dummy_term": ["阿米巴病"]}
颈部脂肪堆积	E65.x07	{"1_region_term": ["颈部", "脂肪"], "dummy_term": ["堆积"]}
韧带骨化	M67.807	{"1_region_term": ["韧带"], "dummy_term": ["骨化"]}
子宫的炎性疾病	N71.900	{"1_region_term": ["子宫"], "dummy_term": ["的", "炎", "性疾病"]}
体表2029%的腐蚀伤	T32.200x001	{"dummy_term": ["体表", "2029", "%", "的", "腐蚀", "伤"]}
跗跖韧带扭伤	S93.600x003	{"1_region_term": ["跖", "韧带"], "dummy_term": ["跗", "扭伤"]}
椎管内纤维组织增生	G95.806	{"1_region_term": ["椎管内"], "dummy_term": ["纤维组织", "增生"]}
脑膜炎球菌性心包炎	A39.501+I32.0*	{"dummy_term": ["脑膜炎", "球菌", "性", "心包炎"]}
月经调节	Z30.302	{"dummy_term": ["月经", "调节"]}
可疑冠心病观察	Z03.501	{"dummy_term": ["可疑", "冠心病", "观察"]}
转移性嗜铬细胞瘤	M87000/6	{"dummy_term": ["转移性", "嗜铬细胞"], "3_disease_term": ["瘤"]}
安宁中毒	T43.500x001	{"dummy_term": ["安宁", "中毒"]}
遗传性椭圆形红细胞增多症	D58.100	{"dummy_term": ["遗传性", "椭圆形", "红细胞", "增多", "症"]}
